,Modelo,Ano,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade
6169,Actyon GLX 2.0TDi 16v 4x4 A/T,11/12,Prata,Diesel,Não disponível,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/ssangyong/actyon-glx-2-0tdi-16v-4x4/11-12/1053094,Seminovos Multimarcas,Av. Júlio de Castilho 1401 - Vila Espanhola - Campo Grande / MS
6170,AirCross Live 1.6 16v A/T,15/16,Cinza,Flex,61.500 Km,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/citro-n/aircross-live-1-6-16v/15-16/1068742,Alvorada Veículos,"Av. Capitão Olinto Mancini, 2960 - Jardim Alvorada - Três Lagoas / MS"
6171,Blazer Colina 2.8TD 4X4,08/09,Branca,Diesel,Não disponível,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/blazer-colina-2-8td-4x4/08-09/1077189,TR4 Veículos,"Av. Pres. Ernesto Geisel, 5323 - Centro - Campo Grande / MS"
6172,C20 Custom S 4.1 C.D.,89/89,Branca,Diesel,Não disponível,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/c20-custom-s-4-1-c-d/89-89/1075361,Marreco Veículos,"Rua Amazonas, 1237 - Centro - Campo Grande / MS"
6173,Cruze LT 1.8 16v A/T,14/14,Branca,Flex,110.000 Km,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/cruze-lt-1-8-16v/14-14/1085223,Tavel,"Av. Virginia Ferreira, 840 - Flavio Garcia - Coxim / MS"
6174,Etios Hatch X 1.3 16v,17/18,Prata,Flex,80.810 Km,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/toyota/etios-hatch-x-1-3-16v/17-18/1089670,Alvorada Veículos,"Av. Capitão Olinto Mancini, 2960 - Jardim Alvorada - Três Lagoas / MS"
6175,Fit LX 1.5 16v A/T,15/15,Vermelha,Flex,Não disponível,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/honda/fit-lx-1-5-16v/15-15/1084282,Simone Automóveis,"Av. Bandeirantes, 1855 - Bandeirantes - Campo Grande / MS"
6176,Focus Sedan SE 2.0 16v Powershift A/T,15/15,Branca,Flex,Não disponível,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/ford/focus-sedan-se-2-0-16v-powershift/15-15/1038755,Arlindo Automóveis,"Av. Bandeirantes, 1879 - Taquarussu - Campo Grande / MS"
6177,Freemont Precision 2.4 16v A/T,11/12,Branca,Gasolina,107.780 Km,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/fiat/freemont-precision-2-4-16v/11-12/1060011,Alvorada Veículos,"Av. Capitão Olinto Mancini, 2960 - Jardim Alvorada - Três Lagoas / MS"
6178,Gol Comfortline 1.0 12v 4p.,19/19,Preta,Flex,17.800 Km,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-comfortline-1-0-12v-4p/19-19/1088665,Giovel Automóveis,"Rua Antonio Maria Coelho, 880 - Centro - Campo Grande / MS"
6179,HB20 Comfort Plus 1.0 12v,19/19,Prata,Flex,23.000 Km,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/hyundai/hb20-comfort-plus-1-0-12v/19-19/1089300,Speed Veículos,"Rua Brilhante, 2334 - Centro - Campo Grande / MS"
6180,HB20 Comfort Plus 1.0 12v,19/19,Branca,Flex,52.000 Km,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/hyundai/hb20-comfort-plus-1-0-12v/19-19/1081034,Perkal Chevrolet,"BR-463, 2549 - Jardim das Exposições - Ponta Porã / MS"
6181,HB20S Comfort Plus 1.0 12v,18/19,Cinza,Flex,60.000 Km,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/hyundai/hb20s-comfort-plus-1-0-12v/18-19/1072239,C.O.M. Comércio de Veículos,"Av. Bandeirantes, 2796 - Vila Bandeirantes - Campo Grande / MS"
6182,Joy 1.0,19/20,Prata,Flex,Não disponível,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/joy-1-0/19-20/1039119,Alvorada Veículos,"Av. Capitão Olinto Mancini, 2960 - Jardim Alvorada - Três Lagoas / MS"
6183,Joy 1.0,19/20,Prata,Flex,50.692 Km,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/joy-1-0/19-20/1083415,Alvorada Veículos,"Av. Capitão Olinto Mancini, 2960 - Jardim Alvorada - Três Lagoas / MS"
6184,Ka SE 1.0 12v,19/20,Prata,Flex,36.726 Km,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/ford/ka-se-1-0-12v/19-20/1081327,V4 Veículos Matriz,"Av. Fabio Zahran, 7279 - Jd. America  - Campo Grande / MS"
6185,Onix LT 1.0,19/19,Branca,Flex,85.180 Km,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-lt-1-0/19-19/1080116,Alvorada Veículos,"Av. Capitão Olinto Mancini, 2960 - Jardim Alvorada - Três Lagoas / MS"
6186,Onix LT 1.0,18/18,Preta,Flex,69.000 Km,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-lt-1-0/18-18/1071540,Auto Marcas,"Av. Bandeirantes, 1735 - Guanandi - Campo Grande / MS"
6187,Voyage 1.6,18/19,Prata,Flex,68.000 Km,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/voyage-1-6/18-19/1067810,Marreco Veículos,"Rua Amazonas, 1237 - Centro - Campo Grande / MS"
6188,Voyage Comfortline 1.6,17/17,Preta,Flex,Não disponível,"R$ 49.800,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/voyage-comfortline-1-6/17-17/1087311,Simone Automóveis,"Av. Bandeirantes, 1855 - Bandeirantes - Campo Grande / MS"
6189,S10 Rodeio 2.4 C.D.,11/11,Prata,Flex,Não disponível,"R$ 49.880,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/s10-rodeio-2-4-c-d/11-11/1070350,Estilo Car Veículos,"Av. Bandeirantes, 1366 - Vila Bandeirantes - Campo Grande / MS"
6190,S10 Rodeio 2.4 C.D.,11/11,Prata,Flex,Não disponível,"R$ 49.890,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/s10-rodeio-2-4-c-d/11-11/1068872,Auto Car Veículos,"Av. Bandeirantes, 1383 - Vila Bandeirantes - Campo Grande / MS"
6191,Strada Working 1.4 C.S.,17/18,Branca,Flex,Não disponível,"R$ 49.890,00",https://www.shopcar.com.br/veiculos/fiat/strada-working-1-4-c-s/17-18/1053720,Estilo Car Veículos,"Av. Bandeirantes, 1366 - Vila Bandeirantes - Campo Grande / MS"
6192,118i 2.0 16v A/T,09/10,Branca,Gasolina,95.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/bmw/118i-2-0-16v/09-10/1082602,BM Motors,"Avenida Presidente Ernesto Geisel, 6103 - Cabreuva - Campo Grande / MS"
6193,ASX 2.0 16v AWD A/T,11/11,Preta,Gasolina,Não disponível,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/mitsubishi/asx-2-0-16v-awd/11-11/1081920,Moura Automóveis,"Rua Hayel Bon Faker, 1588 - Jardim Água Boa - Dourados / MS"
6194,Bravo Sporting 1.8 16v,15/16,Branca,Flex,101.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/fiat/bravo-sporting-1-8-16v/15-16/1068571,BSG Veículos,"Av. Cel. Antonino, 2053 - Conj. Res. Estrela do Sul - Campo Grande / MS"
6195,Bravo Sporting 1.8 16v,15/16,Branca,Flex,113.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/fiat/bravo-sporting-1-8-16v/15-16/1089697,Alvorada Veículos,"Av. Jofre de Araujo, 185 - Centro - Nova Alvorada do Sul / MS"
