Id_Anuncio_ShopCar,Modelo,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados
1008307,Fusca 1300,Vermelha,Gasolina,,23000.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/fusca-1300/69-69/1008307,Centro Car Veículos,"Av. Coronel Ponciano, 2500 - Vila Industrial - Dourados / MS",1969,1969, MS,"Av. Coronel Ponciano, 2500 ", Vila Industrial , Dourados ,vw-volkswagen,10/06/2021
1058091,Gol 1.0 4p.,Branca,Flex,,23000.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-4p/13-13/1058091,Ted Automóveis,"Av. Nicolau Otano, 1427 - Centro - Amambaí / MS",2013,2013, MS,"Av. Nicolau Otano, 1427 ", Centro , Amambaí ,vw-volkswagen,10/06/2021
1080569,Gol Power 1.6 4p.,Prata,Flex,,23000.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-power-1-6-4p/08-08/1080569,Mauricio Automóveis,"Av. Hayel Bon Faker, 1885 - Jardim Água Boa - Dourados / MS",2008,2008, MS,"Av. Hayel Bon Faker, 1885 ", Jardim Água Boa , Dourados ,vw-volkswagen,10/06/2021
1082071,Gol Trend 1.6 4p.,Cinza,Flex,73000.0,23000.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-trend-1-6-4p/08-09/1082071,Matheus Peixoto Balotin,Fátima do Sul - MS,2008,2009,,Fátima do Sul , MS,,vw-volkswagen,10/06/2021
1079447,Golf Generation 1.6,Preta,Gasolina,195967.0,23000.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/golf-generation-1-6/05-06/1079447,Lokal Veículos,"Av. Ernesto Geisel, 3417 - Amambaí - Campo Grande / MS",2005,2006, MS,"Av. Ernesto Geisel, 3417 ", Amambaí , Campo Grande ,vw-volkswagen,10/06/2021
1067065,Golf Trip 1.6,Vermelha,Gasolina,,23000.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/golf-trip-1-6/01-01/1067065,Nova Era Veículos II,"Av. Hayel Bon Faker, 433 - Jardim Raslem - Dourados / MS",2001,2001, MS,"Av. Hayel Bon Faker, 433 ", Jardim Raslem , Dourados ,vw-volkswagen,10/06/2021
1085725,Ka 1.0,Preta,Flex,,23000.0,https://www.shopcar.com.br/veiculos/ford/ka-1-0/12-13/1085725,Jetta Veículos,"Av. Bandeirantes, 3107 - Amambaí - Campo Grande / MS",2012,2013, MS,"Av. Bandeirantes, 3107 ", Amambaí , Campo Grande ,ford,10/06/2021
1055706,Ka 1.0,Cinza,Flex,92000.0,23000.0,https://www.shopcar.com.br/veiculos/ford/ka-1-0/12-13/1055706,Hashimoto Motors,"Av. Marcelino Pires, 4540 - Vila Industrial - Dourados / MS",2012,2013, MS,"Av. Marcelino Pires, 4540 ", Vila Industrial , Dourados ,ford,10/06/2021
1086510,Palio Celebration Economy 1.0 4p.,Prata,Flex,107000.0,23000.0,https://www.shopcar.com.br/veiculos/fiat/palio-celebration-economy-1-0-4p/09-10/1086510,Pantanal Veículos,"Rua Vitória, 1084 - Centro - Rio Verde de Mato Grosso / MS",2009,2010, MS,"Rua Vitória, 1084 ", Centro , Rio Verde de Mato Grosso ,fiat,10/06/2021
1074534,Sentra S 2.0 16v,Prata,Flex,,23000.0,https://www.shopcar.com.br/veiculos/nissan/sentra-s-2-0-16v/07-08/1074534,Ted Automóveis,"Av. Nicolau Otano, 1427 - Centro - Amambaí / MS",2007,2008, MS,"Av. Nicolau Otano, 1427 ", Centro , Amambaí ,nissan,10/06/2021
1088472,SpaceFox 1.6,Cinza,Flex,,23000.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/spacefox-1-6/08-09/1088472,SA Veículos 2,"Rua Caramuru, 953 - Guanandy - Campo Grande / MS",2008,2009, MS,"Rua Caramuru, 953 ", Guanandy , Campo Grande ,vw-volkswagen,10/06/2021
1086343,Strada 1.3 Fire C.S.,Prata,Gasolina,192000.0,23000.0,https://www.shopcar.com.br/veiculos/fiat/strada-1-3-fire-c-s/04-05/1086343,Piracicaba Veículos,"Av. Virginia Ferreira, 2085 - Flávio Garcia - Coxim / MS",2004,2005, MS,"Av. Virginia Ferreira, 2085 ", Flávio Garcia , Coxim ,fiat,10/06/2021
1049132,Tiggo 2.0 16v,Preta,Gasolina,130000.0,23000.0,https://www.shopcar.com.br/veiculos/chery/tiggo-2-0-16v/10-11/1049132,Cilmara Miranda Camargo,Campo Grande - MS,2010,2011,,Campo Grande , MS,,chery,10/06/2021
/940562,Uno Mille Economy Way 1.0 Fire 4p.,Branca,Flex,,23000.0,https://www.shopcar.com.br/veiculos/fiat/uno-mille-economy-way-1-0-fire-4p/11-12/940562,Confiança Veículos,"Rua Sete de Setembro, 1347  - Centro - Campo Grande / MS",2011,2012, MS,"Rua Sete de Setembro, 1347  ", Centro , Campo Grande ,fiat,10/06/2021
1070798,Uno Vivace 1.0 4p.,Prata,Flex,,23000.0,https://www.shopcar.com.br/veiculos/fiat/uno-vivace-1-0-4p/12-13/1070798,Ted Automóveis,"Av. Nicolau Otano, 1427 - Centro - Amambaí / MS",2012,2013, MS,"Av. Nicolau Otano, 1427 ", Centro , Amambaí ,fiat,10/06/2021
1035290,Vectra GT 2.0,Preta,Flex,,23000.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/vectra-gt-2-0/07-08/1035290,Loja do Carro,"Av. Presidente Ernesto Geisel, 5511 - Centro - Campo Grande / MS",2007,2008, MS,"Av. Presidente Ernesto Geisel, 5511 ", Centro , Campo Grande ,gm-chevrolet,10/06/2021
1056245,VW 1600,Azul,Gasolina,144300.0,23000.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/vw-1600/69-69/1056245,Renata Pollak Benites,Campo Grande - MS,1969,1969,,Campo Grande , MS,,vw-volkswagen,10/06/2021
1087370,Celta LT 1.0 4p.,Prata,Flex,,23200.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-lt-1-0-4p/11-12/1087370,Gran Car Veículos,"Av. Hayel Bon Faker, 2400 - Centro - Dourados / MS",2011,2012, MS,"Av. Hayel Bon Faker, 2400 ", Centro , Dourados ,gm-chevrolet,10/06/2021
1082429,Prisma Maxx 1.4,Branca,Flex,122200.0,23490.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/prisma-maxx-1-4/10-11/1082429,Ribolis Automóveis,"Rua Sebastião Alarcom Campos, 157 - Jardim Vista Alegre - Coxim / MS",2010,2011, MS,"Rua Sebastião Alarcom Campos, 157 ", Jardim Vista Alegre , Coxim ,gm-chevrolet,10/06/2021
1066320,207 Passion XR 1.4,Prata,Flex,116000.0,23500.0,https://www.shopcar.com.br/veiculos/peugeot/207-passion-xr-1-4/10-11/1066320,R4 Motors,"Av Interlagos, 3388 - Vila Albuquerque - Campo Grande / MS",2010,2011, MS,"Av Interlagos, 3388 ", Vila Albuquerque , Campo Grande ,peugeot,10/06/2021
1079514,Celta LT 1.0 4p.,Branca,Flex,111000.0,23500.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-lt-1-0-4p/11-12/1079514,Império Veículos,"Av. Bandeirantes, 2689 - Vila Bandeirante - Campo Grande / MS",2011,2012, MS,"Av. Bandeirantes, 2689 ", Vila Bandeirante , Campo Grande ,gm-chevrolet,10/06/2021
1070450,Civic LX 1.7 16v,Chumbo,Gasolina,153000.0,23500.0,https://www.shopcar.com.br/veiculos/honda/civic-lx-1-7-16v/04-04/1070450,Crescente Veículos,"Av. Bandeirantes, 2817 - Nova Bandeirante - Campo Grande / MS",2004,2004, MS,"Av. Bandeirantes, 2817 ", Nova Bandeirante , Campo Grande ,honda,10/06/2021
1087857,Corsa Sedan Classic LS 1.0,Branca,Flex,135000.0,23500.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-ls-1-0/12-12/1087857,Libório & Gerson Automóveis,"Av. Weimar G. Torres, 2478 - Centro - Dourados / MS",2012,2012, MS,"Av. Weimar G. Torres, 2478 ", Centro , Dourados ,gm-chevrolet,10/06/2021
1088295,Corsa Sedan Classic LS 1.0,Prata,Flex,106000.0,23500.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-ls-1-0/11-12/1088295,Majestik Motors,"Rua. Guia Lopes, 348 - Amambaí - Campo Grande / MS",2011,2012, MS,"Rua. Guia Lopes, 348 ", Amambaí , Campo Grande ,gm-chevrolet,10/06/2021
1088170,Corsa Sedan Classic LS 1.0,Preta,Flex,89000.0,23500.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-ls-1-0/11-12/1088170,Nininha Veículos,"Rua Marechal Deodoro da Fonseca, 112 - Centro - Miranda / MS",2011,2012, MS,"Rua Marechal Deodoro da Fonseca, 112 ", Centro , Miranda ,gm-chevrolet,10/06/2021
1084894,Corsa Sedan Premium 1.4,Branca,Flex,,23500.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-premium-1-4/09-10/1084894,CR Veículos,"Av. Gaspar Ries Coelho, 1289 - Flávio Garcia - Coxim / MS",2009,2010, MS,"Av. Gaspar Ries Coelho, 1289 ", Flávio Garcia , Coxim ,gm-chevrolet,10/06/2021
1070328,Gol 1.0 2p.,Branca,Flex,37000.0,23500.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-2p/13-14/1070328,Rei Motors,"Rua Jacuí, 91 - Vila Ipiranga - Campo Grande / MS",2013,2014, MS,"Rua Jacuí, 91 ", Vila Ipiranga , Campo Grande ,vw-volkswagen,10/06/2021
1089669,Gol Trend 1.0 4p.,Branca,Flex,222543.0,23500.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-trend-1-0-4p/10-11/1089669,2R Veículos,"Rua Antônio Corrêa, 2015 - Jardim Paulista - Campo Grande / MS",2010,2011, MS,"Rua Antônio Corrêa, 2015 ", Jardim Paulista , Campo Grande ,vw-volkswagen,10/06/2021
1089357,Gol Trend 1.0 4p.,Cinza,Flex,,23500.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-trend-1-0-4p/09-10/1089357,Lolo Veículos,"Rodovia MS 156, 2595 - Chácara Sidelis - Dourados / MS",2009,2010, MS,"Rodovia MS 156, 2595 ", Chácara Sidelis , Dourados ,vw-volkswagen,10/06/2021
1087414,Ka 1.0,Vermelha,Flex,89500.0,23500.0,https://www.shopcar.com.br/veiculos/ford/ka-1-0/13-13/1087414,Majestik Motors,"Rua. Guia Lopes, 348 - Amambaí - Campo Grande / MS",2013,2013, MS,"Rua. Guia Lopes, 348 ", Amambaí , Campo Grande ,ford,10/06/2021
1081753,Logan Expression 1.6,Branca,Flex,,23500.0,https://www.shopcar.com.br/veiculos/renault/logan-expression-1-6/10-11/1081753,Jetta Veículos,"Av. Bandeirantes, 3107 - Amambaí - Campo Grande / MS",2010,2011, MS,"Av. Bandeirantes, 3107 ", Amambaí , Campo Grande ,renault,10/06/2021
