,Modelo,Ano,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade
5415,Logan Expression 1.0 12v,19/20,Prata,Flex,33.450 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/renault/logan-expression-1-0-12v/19-20/1088163,União Automóveis,"Av. das Bandeiras, 950  - Jockey Club - Campo Grande / MS"
5416,Onix Joy 1.0,18/19,Preta,Flex,118.000 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-joy-1-0/18-19/1074259,3DB Multimarcas,"Av. Pres. Ernesto Geisel, 5404 - Centro - Campo Grande / MS"
5417,Onix Joy 1.0,18/19,Preta,Flex,120.100 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-joy-1-0/18-19/1086590,Interlagos Automóveis,"R. Maranhão,  335 - Vila Rica - Campo Grande / MS"
5418,Onix Joy 1.0,18/18,Prata,Flex,43.000 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-joy-1-0/18-18/1088186,Seminovos Multimarcas,Av. Júlio de Castilho 1401 - Vila Espanhola - Campo Grande / MS
5419,Onix Joy 1.0,18/18,Preta,Flex,31.000 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-joy-1-0/18-18/1072359,Jolemar Veículos,"Av. Bandeirantes, 2822 - Nova Bandeirantes - Campo Grande / MS"
5420,Onix Joy 1.0,17/18,Branca,Flex,Não disponível,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-joy-1-0/17-18/1080355,Auto Flex Veículos,"Av. Weimar G. Torres, 3192 - Centro - Dourados / MS"
5421,Onix LT 1.0,17/18,Cinza,Flex,61.540 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-lt-1-0/17-18/1083700,Mclaren Automóveis,"Av. Bandeirantes, 1246 - Vila Bandeirante - Campo Grande / MS"
5422,Onix LT 1.0,16/17,Preta,Flex,61.000 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-lt-1-0/16-17/1079909,Ildcar Veículos,"Av. Ernesto Geisel, 95 - Vila Marcos Roberto - Campo Grande / MS"
5423,Onix LT 1.4,16/16,Branca,Flex,87.120 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-lt-1-4/16-16/1087143,Giovel Automóveis,"Rua Antonio Maria Coelho, 880 - Centro - Campo Grande / MS"
5424,Onix LTZ 1.4,15/15,Azul,Flex,88.000 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-ltz-1-4/15-15/1084809,Central Veículos,"Av. Bandeirantes, 1395 - Vila Taquarussú - Campo Grande / MS"
5425,Palio Weekend Adventure 1.8 16v Dualogic A/T,15/15,Prata,Flex,70.000 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/fiat/palio-weekend-adventure-1-8-16v-dualogic/15-15/1088626,Unique Automóveis,"Rua Prof. Luís Alexandre de Oliveira, 255 - Vivenda do Bosque - Campo Grande / MS"
5426,Prisma Advantage 1.0,14/15,Branca,Flex,93.878 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/prisma-advantage-1-0/14-15/1084785,AW Veículos,"Av. Iolanda Monteiro Mauger, 241 - Guiray - Ivinhema / MS"
5427,Prisma LT 1.4,13/13,Preta,Flex,99.000 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/prisma-lt-1-4/13-13/1088684,Federal Car 2," Av. Bandeirantes, 3006 - Nova Bandeirantes - Campo Grande / MS"
5428,Prisma LTZ 1.4,13/13,Preta,Flex,130.000 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/prisma-ltz-1-4/13-13/1080637,Majestik Motors,"Rua. Guia Lopes, 348 - Amambaí - Campo Grande / MS"
5429,Ranger XLT 2.8TD C.D.,04/05,Prata,Diesel,299.999 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/ford/ranger-xlt-2-8td-c-d/04-05/1085366,Planalto Veículos,"Av. Tamandaré, 456 - Vila Planalto - Campo Grande / MS"
