Id_Anuncio_ShopCar,Unnamed: 0,Modelo,Ano,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca
1064511,4500,AirCross Tendance 1.6 16v,14/15,Branca,Flex,,37900.0,https://www.shopcar.com.br/veiculos/citro-n/aircross-tendance-1-6-16v/14-15/1064511,Planalto Veículos,"Av. Tamandaré, 456 - Vila Planalto - Campo Grande / MS",2014,2015, MS,"Av. Tamandaré, 456 ", Vila Planalto , Campo Grande ,citro-n
/950996,4501,Bravo Essence 1.8 16v Dualogic A/T,15/16,Branca,Flex,,37900.0,https://www.shopcar.com.br/veiculos/fiat/bravo-essence-1-8-16v-dualogic/15-16/950996,Arlindo Automóveis,"Av. Bandeirantes, 1879 - Taquarussu - Campo Grande / MS",2015,2016, MS,"Av. Bandeirantes, 1879 ", Taquarussu , Campo Grande ,fiat
1087867,4502,C3 Hatch Exclusive 1.6 16v A/T,13/14,Prata,Flex,81000.0,37900.0,https://www.shopcar.com.br/veiculos/citro-n/c3-hatch-exclusive-1-6-16v/13-14/1087867,NJ Veículos,"Av. Getúlio Vargas, 222 - Centro - São Gabriel do Oeste / MS",2013,2014, MS,"Av. Getúlio Vargas, 222 ", Centro , São Gabriel do Oeste ,citro-n
1086708,4503,Civic LXL SE 1.8 16v,10/11,Prata,Flex,,37900.0,https://www.shopcar.com.br/veiculos/honda/civic-lxl-se-1-8-16v/10-11/1086708,Auto + Veículos,"Av. Hayel Bon Faker, 1300 - Jardim Água Boa - Dourados / MS",2010,2011, MS,"Av. Hayel Bon Faker, 1300 ", Jardim Água Boa , Dourados ,honda
1073074,4504,Cobalt LTZ 1.4,13/13,Prata,Flex,92000.0,37900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/cobalt-ltz-1-4/13-13/1073074,Mega Automóveis,"Av. Bandeirantes, 1177 - Amambaí - Campo Grande / MS",2013,2013, MS,"Av. Bandeirantes, 1177 ", Amambaí , Campo Grande ,gm-chevrolet
1085637,4505,Cobalt LTZ 1.4,13/13,Cinza,Flex,150800.0,37900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/cobalt-ltz-1-4/13-13/1085637,Auto + Veículos,"Av. Hayel Bon Faker, 1300 - Jardim Água Boa - Dourados / MS",2013,2013, MS,"Av. Hayel Bon Faker, 1300 ", Jardim Água Boa , Dourados ,gm-chevrolet
1078995,4506,Cobalt LTZ 1.4,12/12,Prata,Flex,,37900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/cobalt-ltz-1-4/12-12/1078995,Jetta Veículos,"Av. Bandeirantes, 3107 - Amambaí - Campo Grande / MS",2012,2012, MS,"Av. Bandeirantes, 3107 ", Amambaí , Campo Grande ,gm-chevrolet
1058789,4507,Cobalt LTZ 1.8 A/T,13/13,Prata,Flex,,37900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/cobalt-ltz-1-8/13-13/1058789,Ted Automóveis,"Av. Nicolau Otano, 1427 - Centro - Amambaí / MS",2013,2013, MS,"Av. Nicolau Otano, 1427 ", Centro , Amambaí ,gm-chevrolet
1053436,4508,CrossFox 1.6,13/14,Branca,Flex,109000.0,37900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/crossfox-1-6/13-14/1053436,Brasil Car,"Av. Ernesto Geisel, 5387 - Centro - Campo Grande / MS",2013,2014, MS,"Av. Ernesto Geisel, 5387 ", Centro , Campo Grande ,vw-volkswagen
1077336,4509,Etios Sedan X 1.5 16v,15/15,Branca,Flex,92154.0,37900.0,https://www.shopcar.com.br/veiculos/toyota/etios-sedan-x-1-5-16v/15-15/1077336,Revolução Automóveis,"Rua Brilhante, 1925 - Nova Bandeirante - Campo Grande / MS",2015,2015, MS,"Rua Brilhante, 1925 ", Nova Bandeirante , Campo Grande ,toyota
