,index,car_features,carcolor,category,doors,exchange,financial,mileage,regdate,vehicle_model,anuncio_id_olx,link_anuncio_olx,car_steering,cartype,end_tag,fuel,gearbox,motorpower,owner,vehicle_brand
38,0,"Vidro elétrico, Air bag, Trava elétrica, Ar condicionado, Direção hidráulica, Alarme, Som",Branco,"Carros, vans e utilitários",4 portas,Sim,IPVA Pago,50000,2019,GM - CHEVROLET ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,955873862,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/onix-joy-2019-unico-dono-955873862,Hidráulica,Hatch,8,Flex,Manual,1.0,Sim,GM - CHEVROLET
39,0,"Vidro elétrico, Air bag, Trava elétrica, Ar condicionado, Direção hidráulica, Alarme, Som",Branco,"Carros, vans e utilitários",,Sim,,120000,2016,FIAT STRADA WORKING 1.4 MPI FIRE FLEX 8V CD,867040925,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/strada-hard-working-1-4-c-d-16-16-867040925,Hidráulica,Pick-up,,Flex,Manual,1.4,,FIAT
40,0,"Vidro elétrico, Air bag, Trava elétrica, Ar condicionado, Alarme, Som, Sensor de ré, Câmera de ré",Preto,"Carros, vans e utilitários",,Não,,73000,2017,TOYOTA HILUX CD SRV 4X2 2.7 FLEX 16V AUT.,964071462,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hillux-964071462,,,,Flex,Automático,,,TOYOTA
41,0,"Vidro elétrico, Air bag, Trava elétrica, Ar condicionado, Direção hidráulica, Alarme, Som",Branco,"Carros, vans e utilitários",4 portas,Não,IPVA Pago,102000,2017,FORD KA 1.5 16V FLEX 5P,964071238,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-ford-ka-1-5-16v-flex-2017-964071238,Hidráulica,Hatch,4,Flex,Manual,1.5,Não,FORD
42,0,,,"Carros, vans e utilitários",4 portas,,,30576,2019,FORD ECOSPORT SE DIRECT 1.5 FLEX 5P AUT.,955733702,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-ecosport-se-1-5-955733702,,SUV,,Flex,Automático,,,FORD
43,0,"Vidro elétrico, Air bag, Trava elétrica, Ar condicionado, Direção hidráulica, Alarme, Som, Sensor de ré, Câmera de ré",Cinza,"Carros, vans e utilitários",4 portas,Não,IPVA Pago,40000,2018,VOLVO XC-90,964070758,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-volvo-xc90-t6-titanium-964070758,Hidráulica,Passeio,3,Gasolina,,4.0 ou mais,Não,VOLVO
44,0,"Alarme, Som",Vermelho,"Carros, vans e utilitários",2 portas,Não,IPVA Pago,149000,2011,FIAT UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 2P,964070339,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/uno-mille-economy-1-0-fire-2p-2010-2011-964070339,Mecânica,Hatch,1,Flex,Manual,1.0,Não,FIAT
45,0,,Prata,"Carros, vans e utilitários",2 portas,Não,IPVA Pago,0,2004,FORD COURIER SPORT 1.6 8V,964069956,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/courier-2004-964069956,Mecânica,Van/Utilitário,6,Gasolina,Manual,1.6,Não,FORD
46,0,"Vidro elétrico, Air bag, Trava elétrica, Ar condicionado, Direção hidráulica, Alarme, Som",Preto,"Carros, vans e utilitários",4 portas,Sim,,100000,2016,HYUNDAI HB20S C.STYLE/C.PLUS1.6 FLEX 16V AUT. 4P,964069942,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20s-1-6-automatico-2016-2016-964069942,Hidráulica,Sedã,3,Flex,Automático,1.6,,HYUNDAI
47,0,"Vidro elétrico, Air bag, Trava elétrica, Ar condicionado, Direção hidráulica, Alarme, Som, Sensor de ré",Branco,"Carros, vans e utilitários",4 portas,Sim,,190000,2013,VW - VOLKSWAGEN AMAROK HIGH.CD 2.0 16V TDI 4X4 DIES. AUT,922124318,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/amarok-highline-automatica-completa-4x4-2013-922124318,Hidráulica,Pick-up,0,Diesel,Automático,2.0 - 2.9,Não,VW - VOLKSWAGEN
48,0,"Vidro elétrico, Trava elétrica, Ar condicionado, Alarme",,"Carros, vans e utilitários",4 portas,,,51027,2020,FIAT TORO FREEDOM 1.8 16V FLEX AUT.,926965231,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-2019-2020-1-8-16v-evo-flex-freedom-at6-926965231,,Passeio,9,Flex,Automático,,,FIAT
49,0,"Vidro elétrico, Air bag, Trava elétrica, Ar condicionado, Direção hidráulica, Alarme, Som, Sensor de ré",Branco,"Carros, vans e utilitários",4 portas,Sim,IPVA Pago,0,2014,CITROEN C3 TENDANCE 1.5 FLEX 8V 5P MEC.,933520575,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/c3-hatch-tendance-1-5-2014-933520575,Elétrica,Hatch,5,Flex,Manual,1.5,Não,CITROEN
