,best_match_score,vendedor,anuncio_id_olx,autos_has_gnv_kit,bairro,cidade,dealership_review,extra_key,gnv_kit,link_anuncio_olx,KM,owner_manual,Preco,Ano_Fabricacao,regiao,uf,Marca,Modelo,warranty,nome_marca,id_marca,nome_modelo,id_modelo
30,0.9530176720569397,HELDER QUEIROZ,1082139873,Não,Guanandi,Campo Grande,,,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/compass-longitude-flex-4x2-at-2-0-2021-1082139873,44100,,127990.0,2021,"Mato Grosso do Sul, MS",MS,JEEP,JEEP COMPASS LONGITUDE 2.0 4X2 FLEX 16V AUT.,,Jeep,29,COMPASS LONGITUDE 2.0 4x2 Flex 16V Aut.,7759
31,1.1520387013311857,Vale Veículos,1085535028,Não,Centro,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20s-comfort-plus-1-6-unico-dono-com-apenas-27mil-km-1085535028,27000,Sim,64900.0,2017,"Mato Grosso do Sul, MS",MS,HYUNDAI,HYUNDAI HB20S C.PLUS/C.STYLE 1.6 FLEX 16V MEC.4P,Não,Hyundai,26,HB20S C.Plus/C.Style 1.6 Flex 16V Mec.4p,6436
32,0.8533165290110639,Localiza Seminovos Campo Grande (VCCGR),1088298517,Não,Chácara Cachoeira,Campo Grande,,,,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/voyage-2020-2021-1-6-msi-totalflex-4p-manual-1088298517,52335,,60490.0,2021,"Mato Grosso do Sul, MS",MS,VW - VOLKSWAGEN,VW - VOLKSWAGEN VOYAGE 1.6 MSI FLEX 8V 4P,,VW - VolksWagen,59,VOYAGE 1.6 MSI Flex 8V 4p,8326
33,1.0874784621471554,Flavio Augusto,1089071399,Não,Vila Bandeirante,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-punto-attractive-1-4-super-conservada-ano-2012-1089071399,128078,Não,30900.0,2012,"Mato Grosso do Sul, MS",MS,FIAT,FIAT PUNTO ATTRACTIVE ITALIA 1.4 F.FLEX 8V 5P,Sim,Fiat,21,Punto ATTRACTIVE ITALIA 1.4 F.Flex 8V 5p,5883
34,0.7386287383890715,Tadeu,1090832826,Não,Monte Carlo,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/punto-2011-1-6-1090832826,90000,Não,25500.0,2011,"Mato Grosso do Sul, MS",MS,FIAT,FIAT PUNTO ESSENCE 1.6 FLEX 16V 5P,Não,Fiat,21,Punto ESSENCE 1.6 Flex 16V 5p,5295
37,0.6927732845903753,jair,1092862061,Não,Jardim Monte Líbano,Campo Grande,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/palio-essence-1-6-4p-2013-1092862061,129000,Sim,35000.0,2013,"Mato Grosso do Sul, MS",MS,FIAT,FIAT PALIO ESSENCE 1.6 FLEX 16V 5P,Não,Fiat,21,Palio ESSENCE 1.6 Flex 16V 5p,5293
39,1.0476589927457474,V8 VEICULOS,1094186185,Não,Centro,Campo Grande,,,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/toro-ranch-2-0tdi-16v-4x4-19-19-1094186185,86000,,155000.0,2019,"Mato Grosso do Sul, MS",MS,FIAT,FIAT TORO RANCH 2.0 16V 4X4 DIESEL AUT.,,Fiat,21,Toro Ranch 2.0 16V 4x4 Diesel Aut.,8473
40,0.6905370165627536,Helio,1094612004,Não,Jardim Leblon,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/compass-4x4-flex-9-marchas-abaixo-tabela-fipe-baixo-km-1094612004,60000,Sim,103900.0,2018,"Mato Grosso do Sul, MS",MS,JEEP,JEEP COMPASS SPORT 2.0 4X4 FLEX 16V AUT.,Sim,Jeep,29,COMPASS SPORT 2.0 4x4 flex 16V Aut.,8053
41,1.1053312886566427,carlos junior,1097251888,Não,Guanandi,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/trailblazer-premier-2-8tdi-2021-top-de-linha-wi-fi-de-fabrica-1097251888,29878,Sim,,2013,"Mato Grosso do Sul, MS",MS,GM - CHEVROLET,GM - CHEVROLET CELTA LIFE/ LS 1.0 MPFI 8V FLEXPOWER 5P,Sim,GM - Chevrolet,23,Celta Life/ LS 1.0 MPFI 8V FlexPower 5p,996
42,0.9149157514722249,Localiza Seminovos Campo Grande (VCCGR),1098029127,Não,Chácara Cachoeira,Campo Grande,,,,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/c4-cactus-2021-2021-1-6-vti-120-flex-feel-eat6-1098029127,50176,,82760.0,2021,"Mato Grosso do Sul, MS",MS,CITROEN,CITROEN C4 CACTUS FEEL 1.6 16V FLEX AUT.,,Citroën,13,C4 CACTUS FEEL 1.6 16V Flex Aut.,8466
44,0.7762631028048076,Helio,1098054605,Não,Jardim Leblon,Campo Grande,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/toyota-etios-1-3-x-2014-2015-1098054605,98800,Sim,41900.0,2015,"Mato Grosso do Sul, MS",MS,TOYOTA,TOYOTA ETIOS X 1.3 FLEX 16V 5P MEC.,Não,Toyota,56,ETIOS X 1.3 Flex 16V 5p Mec.,6246
