,best_match_score,Modelo,Cor,Combustivel,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados,Unnamed: 0,nome_marca,id_marca,nome_modelo,id_modelo
0,0.25103031012404603,Corsa Hatch Maxx 1.0 4p.,Prata,Flex,,14600,https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-hatch-maxx-1-0-4p/05-05/1102301,Elite Veï¿½culos,"Av. Ernesto Geisel, 5990 - Centro - Campo Grande / MS",2005,2005, MS,"Av. Ernesto Geisel, 5990 ", Centro , Campo Grande ,gm-chevrolet,18/11/2022,2165,GM - Chevrolet,23,Corsa Sed. Maxx 1.0/ 1.0 FlexPower 8V 4p,1039
8,-0.023628790457722468,Ka 1.0,Azul,Flex,101300.0,15900,https://www.shopcar.com.br/veiculos/ford/ka-1-0/09-09/1153396,Rei Motors,"Rua Jacuï¿½, 91 - Vila Ipiranga - Campo Grande / MS",2009,2009, MS,"Rua Jacuï¿½, 91 ", Vila Ipiranga , Campo Grande ,ford,18/11/2022,1811,Ford,22,Ka 1.0i 3p,813
211,0.018284629141509492,Saveiro 1.6,Branca,Gasolina,,15900,https://www.shopcar.com.br/veiculos/vw-volkswagen/saveiro-1-6/99-99/1139292,Leo Motors,"Rua Josï¿½ Paes de Farias, 534 - Jardim Jacy - Campo Grande / MS",1999,1999, MS,"Rua Josï¿½ Paes de Farias, 534 ", Jardim Jacy , Campo Grande ,vw-volkswagen,18/11/2022,5982,VW - VolksWagen,59,Saveiro 1.6 Mi/ 1.6 Mi Total Flex 8V,2553
