Id_Anuncio_ShopCar,Modelo,Cor,Combustivel,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados
1102301,Corsa Hatch Maxx 1.0 4p.,Prata,Flex,,14600,https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-hatch-maxx-1-0-4p/05-05/1102301,Elite Veï¿½culos,"Av. Ernesto Geisel, 5990 - Centro - Campo Grande / MS",2005,2005, MS,"Av. Ernesto Geisel, 5990 ", Centro , Campo Grande ,gm-chevrolet,18/11/2022
1153396,Ka 1.0,Azul,Flex,101300.0,15900,https://www.shopcar.com.br/veiculos/ford/ka-1-0/09-09/1153396,Rei Motors,"Rua Jacuï¿½, 91 - Vila Ipiranga - Campo Grande / MS",2009,2009, MS,"Rua Jacuï¿½, 91 ", Vila Ipiranga , Campo Grande ,ford,18/11/2022
1139292,Saveiro 1.6,Branca,Gasolina,,15900,https://www.shopcar.com.br/veiculos/vw-volkswagen/saveiro-1-6/99-99/1139292,Leo Motors,"Rua Josï¿½ Paes de Farias, 534 - Jardim Jacy - Campo Grande / MS",1999,1999, MS,"Rua Josï¿½ Paes de Farias, 534 ", Jardim Jacy , Campo Grande ,vw-volkswagen,18/11/2022
