2,Uno Mille 1.0 Fire 2p.,05/06,Prata,Flex,Não disponível,DETALHES,https://www.shopcar.com.br/veiculos/fiat/uno-mille-1-0-fire-2p/05-06/1229825,Felipe,Campo Grande - MS
3,Focus Sedan Ghia 2.0 16v,02/03,Prata,Gasolina,Não disponível,"R$ 18.000,00",https://www.shopcar.com.br/veiculos/ford/focus-sedan-ghia-2-0-16v/02-03/1204954,Meu Carro Novo,"Av. Weimar Gonçalves Torres, 4150 - Jardim Caramuru - Dourados / MS"
4,Gol 1.0 2p.,10/10,Prata,Flex,Não disponível,"R$ 18.990,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-2p/10-10/1230480,Carlos Paiva Oliveira,Campo Grande - MS
5,Gol 1.6 4p.,07/08,Preta,Flex,Não disponível,"R$ 19.000,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-6-4p/07-08/1232657,Rodrigo de Oliveira Martins,Campo Grande - MS
6,Uno Mille Economy 1.0 Fire 2p.,13/13,Branca,Flex,Não disponível,DETALHES,https://www.shopcar.com.br/veiculos/fiat/uno-mille-economy-1-0-fire-2p/13-13/1217064,Lolo Veículos,"Rodovia MS 156, 2595 - Chácara Sidelis - Dourados / MS"
7,207 Passion XR S 1.4,10/11,Prata,Flex,Não disponível,"R$ 20.900,00",https://www.shopcar.com.br/veiculos/peugeot/207-passion-xr-s-1-4/10-11/1229296,Premium Motors,"Rua João Pedro de Souza,73 - Jardim Monte Líbano - Campo Grande / MS"
8,Fox Route 1.0 4p.,08/09,Prata,Flex,Não disponível,"R$ 20.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/fox-route-1-0-4p/08-09/1229854,Marcus Ramos Gonçalves,Campo Grande - MS
9,Gol 1.0 4p.,07/08,Cinza,Flex,Não disponível,"R$ 20.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-4p/07-08/1232388,Samir Souza Oliveira,Campo Grande - MS
10,Ka 1.0,11/11,Branca,Flex,Não disponível,"R$ 20.900,00",https://www.shopcar.com.br/veiculos/ford/ka-1-0/11-11/1233849,Gian Luca Assumpção Massa,Dourados - MS
11,Ka 1.0,10/11,Prata,Flex,Não disponível,DETALHES,https://www.shopcar.com.br/veiculos/ford/ka-1-0/10-11/1216249,Elite Veículos,"Av. Ernesto Geisel, 5990 - Centro - Campo Grande / MS"
12,Uno Mille Economy 1.0 Fire 2p.,10/11,Prata,Flex,Não disponível,"R$ 20.900,00",https://www.shopcar.com.br/veiculos/fiat/uno-mille-economy-1-0-fire-2p/10-11/1222061,Saraiva Automóveis,"Av. Bandeirantes, 2900 - Vila Jacy - Campo Grande / MS"
13,Ka 1.0,08/09,Preta,Flex,Não disponível,"R$ 22.000,00",https://www.shopcar.com.br/veiculos/ford/ka-1-0/08-09/1232495,Jose Ricardo,Campo Grande - MS
14,Opala 2.5,79/79,Branca,Gasolina,Não disponível,DETALHES,https://www.shopcar.com.br/veiculos/gm-chevrolet/opala-2-5/79-79/1225768,Jair Avilla da Silva,Campo Grande - MS
15,Palio 1.0 Fire 4p.,07/07,Prata,Flex,Não disponível,DETALHES,https://www.shopcar.com.br/veiculos/fiat/palio-1-0-fire-4p/07-07/1197919,Realize Automóveis,"Av. Salgado Filho, 935 - Amambai - Campo Grande / MS"
