Id_Anuncio_ShopCar,Modelo,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados
1126489,S10 LTZ 2.8CTDi 16v 4x4 C.D. A/T,Branca,Diesel,132256.0,140000.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/s10-ltz-2-8ctdi-16v-4x4-c-d/14-14/1126489,Auto Car Multimarcas,"Rua Dinamarca, 52 - Centro - Naviraí / MS",2014,2014, MS,"Rua Dinamarca, 52 ", Centro , Naviraí ,gm-chevrolet,25/10/2021
1121811,Corolla XEi 2.0 16v,Preta,Flex,12000.0,140500.0,https://www.shopcar.com.br/veiculos/toyota/corolla-xei-2-0-16v/20-21/1121811,Enzo Chrysler Jeep Dodge Ram,"Av. Afonso Pena, 5636 - Chácara Cachoeira - Campo Grande / MS",2020,2021, MS,"Av. Afonso Pena, 5636 ", Chácara Cachoeira , Campo Grande ,toyota,25/10/2021
1126058,Hilux SRV D4-D 3.0TDi 16v 4X4 C.D. A/T,Prata,Diesel,140000.0,140900.0,https://www.shopcar.com.br/veiculos/toyota/hilux-srv-d4-d-3-0tdi-16v-4x4-c-d/13-13/1126058,V3 Veículos,"Av. Fabio Zahran, 1244 - Vila Srg. Amaral - Campo Grande / MS",2013,2013, MS,"Av. Fabio Zahran, 1244 ", Vila Srg. Amaral , Campo Grande ,toyota,25/10/2021
1119571,Toro Volcano 2.0TDi 16v 4x4 A/T,Branca,Diesel,44000.0,140900.0,https://www.shopcar.com.br/veiculos/fiat/toro-volcano-2-0tdi-16v-4x4/18-19/1119571,3DB Multimarcas,"Av. Pres. Ernesto Geisel, 5404 - Centro - Campo Grande / MS",2018,2019, MS,"Av. Pres. Ernesto Geisel, 5404 ", Centro , Campo Grande ,fiat,25/10/2021
1125328,GLA 250 Enduro 2.0T 16v A/T,Branca,Gasolina,66478.0,141500.0,https://www.shopcar.com.br/veiculos/mercedes-benz/gla-250-enduro-2-0t-16v/15-16/1125328,RA Brasil Veículos,"Av. Calógeras, 583  - Vila Carvalho - Campo Grande / MS",2015,2016, MS,"Av. Calógeras, 583  ", Vila Carvalho , Campo Grande ,mercedes-benz,25/10/2021
1106486,Hilux SRV D4-D 3.0TDi 16v 4X4 C.D. A/T,Branca,Diesel,117000.0,141900.0,https://www.shopcar.com.br/veiculos/toyota/hilux-srv-d4-d-3-0tdi-16v-4x4-c-d/13-13/1106486,JRC Motors,"R. Kamiei Simabuco, 48 - Vila Margarida - Campo Grande / MS",2013,2013, MS,"R. Kamiei Simabuco, 48 ", Vila Margarida , Campo Grande ,toyota,25/10/2021
1113456,Renegade Limited 1.8 16v A/T,Cinza,Flex,1250.0,141900.0,https://www.shopcar.com.br/veiculos/jeep/renegade-limited-1-8-16v/21-21/1113456,Seminovos Multimarcas,Av. Júlio de Castilho 1401 - Vila Espanhola - Campo Grande / MS,2021,2021, MS,Av. Júlio de Castilho 1401 , Vila Espanhola , Campo Grande ,jeep,25/10/2021
1119620,S10 LTZ 2.5 16v C.D. A/T,Branca,Flex,78000.0,141900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/s10-ltz-2-5-16v-c-d/17-18/1119620,Interauto Automóveis,"Rua Ceará, 2594 - Vila Rica - Campo Grande / MS",2017,2018, MS,"Rua Ceará, 2594 ", Vila Rica , Campo Grande ,gm-chevrolet,25/10/2021
1119897,S10 LTZ 2.5 16v C.D. A/T,Branca,Flex,,141900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/s10-ltz-2-5-16v-c-d/17-18/1119897,Estilo Car Veículos,"Av. Bandeirantes, 1366 - Vila Bandeirantes - Campo Grande / MS",2017,2018, MS,"Av. Bandeirantes, 1366 ", Vila Bandeirantes , Campo Grande ,gm-chevrolet,25/10/2021
1121861,C 180 1.6T 16v,Preta,Gasolina,47342.0,189000.0,https://www.shopcar.com.br/veiculos/mercedes-benz/c-180-1-6t-16v/17-18/1121861,Enzo Volvo,"Rua Joaquim Murtinho, 2333 - Itanhanga Park - Campo Grande / MS",2017,2018, MS,"Rua Joaquim Murtinho, 2333 ", Itanhanga Park , Campo Grande ,mercedes-benz,25/10/2021
1120312,C 180 Coupe Avantgarde 1.6T 16v A/T,Preta,Gasolina,47342.0,189000.0,https://www.shopcar.com.br/veiculos/mercedes-benz/c-180-coupe-avantgarde-1-6t-16v/17-18/1120312,Enzo Volvo,"Rua Joaquim Murtinho, 2333 - Itanhanga Park - Campo Grande / MS",2017,2018, MS,"Rua Joaquim Murtinho, 2333 ", Itanhanga Park , Campo Grande ,mercedes-benz,25/10/2021
1123226,Camry XLE 3.5 V6 24v A/T,Branca,Gasolina,29300.0,189000.0,https://www.shopcar.com.br/veiculos/toyota/camry-xle-3-5-v6-24v/18-18/1123226,HB Motors,"Av. Eduardo Elias Zahran, 692 - Jardim Paulista - Campo Grande / MS",2018,2018, MS,"Av. Eduardo Elias Zahran, 692 ", Jardim Paulista , Campo Grande ,toyota,25/10/2021
1089171,Compass Limited 2.0 16v A/T,Cinza,Diesel,,189000.0,https://www.shopcar.com.br/veiculos/jeep/compass-limited-2-0-16v/19-20/1089171,M.G.R. Veículos,"Av. Afonso Pena, 3865 - Centro - Campo Grande / MS",2019,2020, MS,"Av. Afonso Pena, 3865 ", Centro , Campo Grande ,jeep,25/10/2021
1126732,Hilux SRX D4-D 2.8TDi 16v 4X4 C.D. A/T,Branca,Flex,,189000.0,https://www.shopcar.com.br/veiculos/toyota/hilux-srx-d4-d-2-8tdi-16v-4x4-c-d/16-16/1126732,Gauchinho Veículos,"Av. Hayel Bon Faker, 1247 - Jardim Água Boa - Dourados / MS",2016,2016, MS,"Av. Hayel Bon Faker, 1247 ", Jardim Água Boa , Dourados ,toyota,25/10/2021
1121601,S10 LT 2.8CTDi 16v 4x4 C.D. A/T,Prata,Diesel,67257.0,189000.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/s10-lt-2-8ctdi-16v-4x4-c-d/19-20/1121601,Padrão Veículos,"Rua João Teodoro Braga,1275 - Centro - Nova Andradina / MS",2019,2020, MS,"Rua João Teodoro Braga,1275 ", Centro , Nova Andradina ,gm-chevrolet,25/10/2021
1093385,S10 LTZ 2.8CTDi 16v 4x4 C.D. A/T,Vermelha,Diesel,82000.0,189000.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/s10-ltz-2-8ctdi-16v-4x4-c-d/18-19/1093385,Gilmar Automóveis,"Av. Marcelino Píres, 4085 - Jardim Caramuru - Dourados / MS",2018,2019, MS,"Av. Marcelino Píres, 4085 ", Jardim Caramuru , Dourados ,gm-chevrolet,25/10/2021
1102587,S10 LTZ 2.8CTDi 16v 4x4 C.D. A/T,Preta,Diesel,55000.0,189000.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/s10-ltz-2-8ctdi-16v-4x4-c-d/18-19/1102587,Negócios Veículos,"Rua Ceará, 1969 - Vila Célia - Campo Grande / MS",2018,2019, MS,"Rua Ceará, 1969 ", Vila Célia , Campo Grande ,gm-chevrolet,25/10/2021
1104682,S10 LTZ 2.8CTDi 16v 4x4 C.D. A/T,Azul,Diesel,129125.0,189000.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/s10-ltz-2-8ctdi-16v-4x4-c-d/18-19/1104682,Gauchinho Veículos,"Av. Hayel Bon Faker, 1247 - Jardim Água Boa - Dourados / MS",2018,2019, MS,"Av. Hayel Bon Faker, 1247 ", Jardim Água Boa , Dourados ,gm-chevrolet,25/10/2021
1100254,S10 LTZ 2.8CTDi 16v 4x4 C.D. A/T,Branca,Diesel,40000.0,189000.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/s10-ltz-2-8ctdi-16v-4x4-c-d/18-19/1100254,Yotsui Veículos,"Av. Hayel Bon Faker, 2300 - Jardim São Pedro - Dourados / MS",2018,2019, MS,"Av. Hayel Bon Faker, 2300 ", Jardim São Pedro , Dourados ,gm-chevrolet,25/10/2021
1125856,Amarok Highline 3.0TDi V6 24v 4x4 C.D. A/T,Preta,Diesel,137561.0,189900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/amarok-highline-3-0tdi-v6-24v-4x4-c-d/18-18/1125856,Revolução Automóveis,"Rua Brilhante, 1925 - Nova Bandeirante - Campo Grande / MS",2018,2018, MS,"Rua Brilhante, 1925 ", Nova Bandeirante , Campo Grande ,vw-volkswagen,25/10/2021
1125737,Firebird 5.0 V8 A/T,Vermelha,Gasolina,48406.0,189900.0,https://www.shopcar.com.br/veiculos/pontiac/firebird-5-0-v8/75-75/1125737,JB Garage,"Rua Maracaju, 1161 - Centro - Campo Grande / MS",1975,1975, MS,"Rua Maracaju, 1161 ", Centro , Campo Grande ,pontiac,25/10/2021
1115820,GLA 200 Advance 1.6T 16v A/T,Preta,Gasolina,17700.0,189900.0,https://www.shopcar.com.br/veiculos/mercedes-benz/gla-200-advance-1-6t-16v/18-19/1115820,Tecar Mercedes Benz,"Av. Afonso Pena, 5634 - Chácara Cachoeira - Campo Grande / MS",2018,2019, MS,"Av. Afonso Pena, 5634 ", Chácara Cachoeira , Campo Grande ,mercedes-benz,25/10/2021
1098000,Hilux SR Challenge D4-D 2.8TDi 16v 4X4 C.D.,Vermelha,Diesel,91600.0,189900.0,https://www.shopcar.com.br/veiculos/toyota/hilux-sr-challenge-d4-d-2-8tdi-16v-4x4-c-d/17-18/1098000,Finauto Veículos,"Rua Antonio de Souza Marcondes, 2800 - Centro - Maracaju / MS",2017,2018, MS,"Rua Antonio de Souza Marcondes, 2800 ", Centro , Maracaju ,toyota,25/10/2021
1119562,Hilux SRV 2.7 16v C.D.,Prata,Flex,8700.0,189900.0,https://www.shopcar.com.br/veiculos/toyota/hilux-srv-2-7-16v-c-d/20-21/1119562,3DB Multimarcas,"Av. Pres. Ernesto Geisel, 5404 - Centro - Campo Grande / MS",2020,2021, MS,"Av. Pres. Ernesto Geisel, 5404 ", Centro , Campo Grande ,toyota,25/10/2021
1123655,Hilux SRV 2.7 16v C.D.,Branca,Flex,37500.0,189900.0,https://www.shopcar.com.br/veiculos/toyota/hilux-srv-2-7-16v-c-d/19-20/1123655,Whiley Soares Bueno,Três Lagoas - MS,2019,2020,,Três Lagoas , MS,,toyota,25/10/2021
1113896,Passat Highline 2.0 16v TSi A/T,Preta,Gasolina,20000.0,189900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/passat-highline-2-0-16v-tsi/18-19/1113896,Concept Car,"Rua Alagoas, 273 - Jardim dos Estados - Campo Grande / MS",2018,2019, MS,"Rua Alagoas, 273 ", Jardim dos Estados , Campo Grande ,vw-volkswagen,25/10/2021
1108695,S10 LTZ 2.8CTDi 16v 4x4 C.D. A/T,Prata,Diesel,129000.0,189900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/s10-ltz-2-8ctdi-16v-4x4-c-d/18-19/1108695,Medcar Veículos,"Av. Weimar G. Torres, 3490 - Centro - Dourados / MS",2018,2019, MS,"Av. Weimar G. Torres, 3490 ", Centro , Dourados ,gm-chevrolet,25/10/2021
1124003,S10 LTZ 2.8CTDi 16v 4x4 C.D. A/T,Prata,Diesel,153000.0,189900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/s10-ltz-2-8ctdi-16v-4x4-c-d/18-18/1124003,Via Premium Motors,"Weimar Gonçalves Torres, 5155 - Jardim Guanabara - Dourados / MS",2018,2018, MS,"Weimar Gonçalves Torres, 5155 ", Jardim Guanabara , Dourados ,gm-chevrolet,25/10/2021
1113746,S10 LTZ 2.8CTDi 16v 4x4 C.D. A/T,Prata,Diesel,47200.0,189900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/s10-ltz-2-8ctdi-16v-4x4-c-d/18-18/1113746,Tomitão Carros e Negócios,"Av. Ceará, 2678 - Vila Rica - Campo Grande / MS",2018,2018, MS,"Av. Ceará, 2678 ", Vila Rica , Campo Grande ,gm-chevrolet,25/10/2021
