Id_Anuncio_ShopCar,Modelo,Cor,Combustivel,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados
1140224,Tiguan Allspace R-Line 2.0 16v TSi A/T,Cinza,Gasolina,5300.0,265900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/tiguan-allspace-r-line-2-0-16v-tsi/21-21/1140224,Bull Motors,"Rua Dr. M�rio Edson de Barros, 55 - Ch�cara Cachoeira - Campo Grande / MS",2021,2021, MS,"Rua Dr. M�rio Edson de Barros, 55 ", Ch�cara Cachoeira , Campo Grande ,vw-volkswagen,01/01/2022
1140189,Hilux SRX D4-D 2.8TDi 16v 4X4 C.D. A/T,Branca,Diesel,50000.0,267990.0,https://www.shopcar.com.br/veiculos/toyota/hilux-srx-d4-d-2-8tdi-16v-4x4-c-d/20-20/1140189,Odi Car Ve�culos,"Av. Coronel Antonino, 352 - Coronel Antonino - Campo Grande / MS",2020,2020, MS,"Av. Coronel Antonino, 352 ", Coronel Antonino , Campo Grande ,toyota,01/01/2022
1145005,L200 Triton Sport HPE 2.4TDi 16v 4X4 C.D. A/T,Preta,Diesel,,267990.0,https://www.shopcar.com.br/veiculos/mitsubishi/l200-triton-sport-hpe-2-4tdi-16v-4x4-c-d/21-22/1145005,Endo Motors,"Av. Marcelino Pires, 3318 - Centro - Dourados / MS",2021,1922, MS,"Av. Marcelino Pires, 3318 ", Centro , Dourados ,mitsubishi,01/01/2022
1123551,Hilux SRV D4-D 2.8TDi 16v 4X4 C.D. A/T,Branca,Diesel,21000.0,268000.0,https://www.shopcar.com.br/veiculos/toyota/hilux-srv-d4-d-2-8tdi-16v-4x4-c-d/20-20/1123551,Gilmar Autom�veis,"Av. Marcelino P�res, 4085 - Jardim Caramuru - Dourados / MS",2020,2020, MS,"Av. Marcelino P�res, 4085 ", Jardim Caramuru , Dourados ,toyota,01/01/2022
1131236,Hilux SRV D4-D 2.8TDi 16v 4X4 C.D. A/T,Cinza,Diesel,60000.0,268000.0,https://www.shopcar.com.br/veiculos/toyota/hilux-srv-d4-d-2-8tdi-16v-4x4-c-d/19-19/1131236,SA Ve�culos 2,"Rua Caramuru, 953 - Guanandy - Campo Grande / MS",2019,2019, MS,"Rua Caramuru, 953 ", Guanandy , Campo Grande ,toyota,01/01/2022
1142457,Hilux SRX D4-D 2.8TDi 16v 4X4 C.D. A/T,Prata,Diesel,,268000.0,https://www.shopcar.com.br/veiculos/toyota/hilux-srx-d4-d-2-8tdi-16v-4x4-c-d/18-19/1142457,Nova Era Ve�culos II,"Av. Hayel Bon Faker, 433 - Jardim Raslem - Dourados / MS",2018,2019, MS,"Av. Hayel Bon Faker, 433 ", Jardim Raslem , Dourados ,toyota,01/01/2022
1136638,Camaro SS 6.2 V8,Amarela,Gasolina,,268900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/camaro-ss-6-2-v8/13-14/1136638,Fashion Car,"Rua Ant�nio de Souza Marcondes, 2879 - BNH - Maracaju / MS",2013,2014, MS,"Rua Ant�nio de Souza Marcondes, 2879 ", BNH , Maracaju ,gm-chevrolet,01/01/2022
1137284,Hilux SRX D4-D 2.8TDi 16v 4X4 C.D. A/T,Branca,Diesel,3000.0,350000.0,https://www.shopcar.com.br/veiculos/toyota/hilux-srx-d4-d-2-8tdi-16v-4x4-c-d/21-21/1137284,Braz Ve�culos,"Av. Bandeirantes, 1252 - Amamba� - Campo Grande / MS",2021,2021, MS,"Av. Bandeirantes, 1252 ", Amamba� , Campo Grande ,toyota,01/01/2022
1137657,Hilux SW4 SRX Diamond D4-D 2.8TDi 16v A/T,Branca,Diesel,17700.0,359000.0,https://www.shopcar.com.br/veiculos/toyota/hilux-sw4-srx-diamond-d4-d-2-8tdi-16v/20-20/1137657,Samir Rodrigues Zayed,Campo Grande - MS,2020,2020,,Campo Grande , MS,,toyota,01/01/2022
1126812,M6 Gran Coupe 4.4T V8 32v A/T,Cinza,Gasolina,19451.0,359000.0,https://www.shopcar.com.br/veiculos/bmw/m6-gran-coupe-4-4t-v8-32v/14-15/1126812,Show Room,"Av. Ricardo Brand�o, 400 - Itanhang� Park - Campo Grande / MS",2014,2015, MS,"Av. Ricardo Brand�o, 400 ", Itanhang� Park , Campo Grande ,bmw,01/01/2022
1144870,A 35 AMG 2.0T 16v 4Matic A/T,Preta,Gasolina,9948.0,359900.0,https://www.shopcar.com.br/veiculos/mercedes-benz/a-35-amg-2-0t-16v-4matic/19-20/1144870,Tomit�o Carros e Neg�cios,"Av. Cear�, 2678 - Vila Rica - Campo Grande / MS",2019,2020, MS,"Av. Cear�, 2678 ", Vila Rica , Campo Grande ,mercedes-benz,01/01/2022
1099724,X3 M40i 3.0T 24v A/T,Branca,Gasolina,17077.0,359900.0,https://www.shopcar.com.br/veiculos/bmw/x3-m40i-3-0t-24v/18-18/1099724,Kart Ve�culos,"Rua Rio Grande do Sul, 357 - Jardim dos Estados - Campo Grande / MS",2018,2018, MS,"Rua Rio Grande do Sul, 357 ", Jardim dos Estados , Campo Grande ,bmw,01/01/2022
1135905,Hilux SRX D4-D 2.8TDi 16v 4X4 C.D. A/T,Branca,Diesel,,360000.0,https://www.shopcar.com.br/veiculos/toyota/hilux-srx-d4-d-2-8tdi-16v-4x4-c-d/21-22/1135905,Fashion Car,"Rua Ant�nio de Souza Marcondes, 2879 - BNH - Maracaju / MS",2021,1922, MS,"Rua Ant�nio de Souza Marcondes, 2879 ", BNH , Maracaju ,toyota,01/01/2022
1144696,Hilux SRX D4-D 2.8TDi 16v 4X4 C.D. A/T,Preta,Diesel,,360000.0,https://www.shopcar.com.br/veiculos/toyota/hilux-srx-d4-d-2-8tdi-16v-4x4-c-d/21-22/1144696,Giga Ve�culos,"Av. Weimar Gon�alves Torres, 2989 - Centro - Dourados / MS",2021,1922, MS,"Av. Weimar Gon�alves Torres, 2989 ", Centro , Dourados ,toyota,01/01/2022
1143367,Hilux SRX D4-D 2.8TDi 16v 4X4 C.D.,Preta,Diesel,,360000.0,https://www.shopcar.com.br/veiculos/toyota/hilux-srx-d4-d-2-8tdi-16v-4x4-c-d/21-21/1143367,Giga Ve�culos,"Av. Weimar Gon�alves Torres, 2989 - Centro - Dourados / MS",2021,2021, MS,"Av. Weimar Gon�alves Torres, 2989 ", Centro , Dourados ,toyota,01/01/2022
1137058,2500 Laramie 6.7TDi 24v 4X4 C.D. A/T,Branca,Diesel,54000.0,365000.0,https://www.shopcar.com.br/veiculos/ram/2500-laramie-6-7tdi-24v-4x4-c-d/18-18/1137058,HC Ve�culos Show Room,"Rua Joaquim Murtinho, 1490 - Itanhang� Park - Campo Grande / MS",2018,2018, MS,"Rua Joaquim Murtinho, 1490 ", Itanhang� Park , Campo Grande ,ram,01/01/2022
1139783,Hilux SRX D4-D 2.8TDi 16v 4X4 C.D. A/T,Prata,Diesel,,365000.0,https://www.shopcar.com.br/veiculos/toyota/hilux-srx-d4-d-2-8tdi-16v-4x4-c-d/21-22/1139783,Ted Autom�veis,"Av. Nicolau Otano, 1427 - Centro - Amamba� / MS",2021,1922, MS,"Av. Nicolau Otano, 1427 ", Centro , Amamba� ,toyota,01/01/2022
1126533,Pajero Sport HPE-S 2.4TDi 16v 4X4 A/T,Branca,Diesel,,365000.0,https://www.shopcar.com.br/veiculos/mitsubishi/pajero-sport-hpe-s-2-4tdi-16v-4x4/20-21/1126533,Cana� Autom�veis,"Av. Brasil, 3957 - Centro - Ponta Por� / MS",2020,2021, MS,"Av. Brasil, 3957 ", Centro , Ponta Por� ,mitsubishi,01/01/2022
1140328,Pajero Sport HPE 2.4TDi 16v 4X4 A/T,Prata,Diesel,10285.0,369900.0,https://www.shopcar.com.br/veiculos/mitsubishi/pajero-sport-hpe-2-4tdi-16v-4x4/21-22/1140328,HB Motors,"Av. Eduardo Elias Zahran, 692 - Jardim Paulista - Campo Grande / MS",2021,1922, MS,"Av. Eduardo Elias Zahran, 692 ", Jardim Paulista , Campo Grande ,mitsubishi,01/01/2022
1128954,Hilux SW4 SRX D4-D 2.8TDi 16v A/T,Branca,Diesel,70000.0,375990.0,https://www.shopcar.com.br/veiculos/toyota/hilux-sw4-srx-d4-d-2-8tdi-16v/20-20/1128954,Via Japan,Rod. Assis Chateaubriand - Vila Santa Maria - Presidente Prudente / SP,2020,2020, SP,Rod. Assis Chateaubriand , Vila Santa Maria , Presidente Prudente ,toyota,01/01/2022
